index,date,freq,acu_interval,settle,acu_settle,error_mean,error_variance,variance
440303_051493,2018-04-25,16.0,80.0,0.2468585982,1.31793753799,0.5958148711214033,0.3111045904632459,1.006832947526754
440303_051493,2018-05-11,16.0,96.0,0.1472673016999999,1.46520483969,0.4833075311820198,0.3626274199647354,1.1025774197252645
440303_051493,2018-06-12,32.0,128.0,-2.157751677198,-0.692546837508,-0.2709107750197432,-1.961918791078064,1.2693719535700645
440303_051493,2018-07-11,29.0,157.0,-6.010042838772,-6.70258967628,-0.6590876749196655,-8.288505732809163,1.5859160565291643
440303_051493,2018-08-31,51.0,208.0,-5.05019314112,-11.7527828174,1.3437522454586652,-13.495228452966256,1.7424456355662554
440303_051493,2018-09-13,13.0,221.0,1.1107463489999994,-10.6420364684,1.5981547483196668,-12.363964433433258,1.7219279650332573
440303_051493,2018-10-02,19.0,240.0,2.044982205190001,-8.59705426321,1.7631001627160003,-10.23176540304387,1.6347111398338692
440303_051493,2018-10-18,16.0,256.0,1.8038737307,-6.79318053251,1.8383486959710016,-8.313426471222325,1.5202459387123255
440303_051493,2018-11-03,16.0,272.0,1.7643811122099995,-5.0287994203,1.9254663211599965,-6.425556046748116,1.3967566264481155
440303_051493,2018-11-19,16.0,288.0,1.7204393988800004,-3.30836002142,2.0270587331246657,-4.602763908055272,1.2944038866352725
440303_051493,2018-12-01,12.0,300.0,1.22562516004,-2.08273486138,2.088500176747333,-3.315982886000992,1.233248024620992
440303_051493,2019-01-06,36.0,336.0,1.232497299976,-0.850237561404,1.8373404098582664,-1.9663821426313173,1.1161445812273174
440303_051493,2019-02-07,32.0,368.0,-1.997285313776,-2.84752287518,1.2784206865603336,-3.979303703314902,1.1317808281349022
440303_051493,2019-02-19,12.0,380.0,-0.0060977846399996,-2.85362065982,1.2260147540983342,-3.9806698429635183,1.1270491831435183
440303_051493,2019-03-11,20.0,400.0,1.6118392040399998,-1.24178145578,1.415777306919534,-2.4886965363240448,1.2469150805440448
440303_051493,2019-03-27,16.0,416.0,2.70081830793,1.45903685215,1.8031913720490036,-0.3425620273698535,1.8015988795198532
440303_051493,2019-04-25,29.0,445.0,4.751435278100001,6.21047213025,2.48211857995321,3.412601819226455,2.797870311023545
440303_051493,2019-04-28,3.0,448.0,0.2638680571899998,6.47434018744,2.5100565083372337,3.661370790871677,2.812969396568324
440303_051493,2019-05-10,12.0,460.0,0.5316628054399999,7.00600299288,2.5052130829507,4.31840166161628,2.68760133126372
440303_051493,2019-06-10,31.0,491.0,-0.3123265099100001,6.69367648297,1.8426779719171344,4.733125043247357,1.9605514397226431
440303_051493,2019-06-26,16.0,507.0,0.6072049037500005,7.30088138672,1.511338130998828,5.469739840476207,1.831141546243794
440303_051493,2019-07-12,16.0,523.0,0.99854404325,8.29942542997,1.3642620080703347,6.549258525846375,1.7501669041236252
440303_051493,2019-08-14,33.0,556.0,0.9235383145099992,9.22296374448,1.5984360242119982,7.394690532952303,1.828273211527696
440303_051493,2019-08-29,15.0,571.0,0.2256870506000012,9.44865079508,1.928044280947665,7.4510217974264386,1.9976289976535624
440303_051493,2019-09-27,29.0,600.0,0.7896243574199993,10.2382751525,2.8183912436253324,7.8458322907760545,2.392442861723945
440303_051493,2019-10-09,12.0,612.0,0.0794320100999996,10.3177071626,3.2144151068980005,7.791837381968797,2.525869780631202
440303_051493,2019-11-17,39.0,651.0,-4.21595813262,6.10174902998,3.778331688919904,3.597204931782512,2.504544098197488
440303_051493,2019-12-03,16.0,667.0,-3.17921136171,2.92253766827,3.400229732486087,0.6687537007082831,2.253783967561717
440303_051493,2020-01-13,41.0,708.0,-6.5223479909,-3.59981032263,2.040949058931333,-5.077789548351514,1.477979225721514
440303_051493,2020-02-05,23.0,731.0,-0.6783266966200001,-4.27813701925,1.9276078545186657,-5.610260064777416,1.3321230455274151
440303_051493,2020-02-21,16.0,747.0,0.2393301539400001,-4.03880686531,1.9026351943836683,-5.349677633260949,1.3108707679509497
440303_051493,2020-03-24,32.0,779.0,2.29520895584,-1.74359790947,1.5822473436683664,-3.1307656295995145,1.3871677201295145
440303_051493,2020-04-09,16.0,795.0,2.109904164042,0.366306254572,1.4389039265122134,-1.0750970895796197,1.4414033441516196
440303_051493,2020-05-11,32.0,827.0,5.871559240958001,6.23786549553,1.702556808492668,4.563269989517058,1.674595506012943
440303_051493,2020-06-12,32.0,859.0,1.8371701929400004,8.07503568847,2.224092426105667,6.181163006545381,1.89387268192462
440303_051493,2020-07-14,32.0,891.0,-4.203563865880001,3.87147182259,2.2729750045960992,1.9529536326490615,1.918518189940938
440303_051493,2020-07-30,16.0,907.0,-0.4213730688799999,3.45009875371,2.27482380283271,1.4716296714070634,1.9784690823029365
440303_051493,2020-08-15,16.0,923.0,1.5945948733400002,5.04469362705,2.2948177266119005,2.963088225315448,2.0816054017345524
440303_051493,2020-09-16,32.0,955.0,3.58863235588,8.63332598293,2.433460026734666,6.50260438119275,2.1307216017372497
440303_051493,2020-10-11,25.0,980.0,-2.5936344691799995,6.03969151375,2.6594344219710115,3.989825867337544,2.0498656464124565
440303_051493,2020-10-18,7.0,987.0,-1.16257049704,4.87712101671,2.7319919000343336,2.841610267415638,2.0355107492943625
440303_051493,2020-11-03,16.0,1003.0,-2.6937101082800003,2.18341090843,2.943721806609633,0.17839552913376,2.00501537929624
440303_051493,2020-11-19,16.0,1019.0,-2.421107341422,-0.237696432992,3.2487642866281665,-2.217327241035642,1.979630808043642
440303_051493,2020-12-05,16.0,1035.0,-1.912005504288,-2.14970193728,3.5969416761480004,-4.120466063385371,1.9707641261053708
440303_051493,2020-12-21,16.0,1051.0,-1.23960110299,-3.38930304027,3.8681963846076655,-5.37058878084251,1.9812857405725104
440303_051493,2021-01-06,16.0,1067.0,-0.4007244922399997,-3.79002753251,3.9775136336163337,-5.795892604622295,2.005865072112295
440303_051493,2021-02-08,33.0,1100.0,1.80841306967,-1.98161446284,3.703204960481332,-4.044931553613663,2.063317090773663
440303_051493,2021-02-23,15.0,1115.0,1.2729144623160005,-0.708700000524,3.4741955930878,-2.7947552327985483,2.0860552322745485
440303_051493,2021-03-11,16.0,1131.0,1.207068536807,0.498368536283,3.2504955230708,-1.6468963684346178,2.1452649047176178
440303_051493,2021-04-12,32.0,1163.0,0.911450080287,1.40981861657,3.1708292185083664,-1.1855431204869222,2.595361737056922
440303_051493,2021-04-28,16.0,1179.0,-0.3219818115899999,1.08783680498,3.3594472655947003,-1.835304057154416,2.923140862134416
440303_051533,2018-03-08,32.0,32.0,-2.26892647081,-2.26892647081,-2.459287178346253,-2.8866962859229743,0.6177698151129746
440303_051533,2018-03-24,16.0,48.0,-0.52097743242,-2.78990390323,-3.091291897742633,-3.6040473261855617,0.8141434229555619
440303_051533,2018-04-09,16.0,64.0,0.1474485752399998,-2.64245532799,-3.10801949772175,-3.5671599791550297,0.9247046511650296
440303_051533,2018-04-25,16.0,80.0,0.63789903229,-2.0045562957,-2.726678962568597,-3.011389243226754,1.006832947526754
440303_051533,2018-05-11,16.0,96.0,0.61915748559,-1.38539881011,-2.36729611861798,-2.4879762298352643,1.1025774197252645
440303_051533,2018-06-12,32.0,128.0,-1.99519539497,-3.38059420508,-2.9589581425917437,-4.649966158650065,1.2693719535700645
440303_051533,2018-07-11,29.0,157.0,-6.522416288980001,-9.90301049406,-3.859508492699666,-11.488926550589165,1.5859160565291643
440303_051533,2018-08-31,51.0,208.0,-7.785745974540001,-17.6887564686,-4.592221405741336,-19.431202104166257,1.7424456355662554
440303_051533,2018-09-13,13.0,221.0,0.9088188132,-16.7799376554,-4.539746438680334,-18.501865620433257,1.7219279650332573
440303_051533,2018-10-02,19.0,240.0,2.210865073500001,-14.5690725819,-4.2089181559740005,-16.20378372173387,1.6347111398338692
440303_051533,2018-10-18,16.0,256.0,2.179285440400001,-12.3897871415,-3.7582579130189977,-13.910033080212326,1.5202459387123255
440303_051533,2018-11-03,16.0,272.0,2.1459419811,-10.2438451604,-3.2895794189400025,-11.640601786848116,1.3967566264481155
440303_051533,2018-11-19,16.0,288.0,1.95429794301,-8.28954721739,-2.9541284628453344,-9.583951104025273,1.2944038866352725
440303_051533,2018-12-01,12.0,300.0,1.2476249182099997,-7.04192229918,-2.870687261052667,-8.275170323800992,1.233248024620992
440303_051533,2019-01-06,36.0,336.0,0.6525794749800005,-6.3893428242,-3.7017648529377336,-7.505487405427317,1.1161445812273174
440303_051533,2019-02-07,32.0,368.0,-1.8971039374800007,-8.28644676168,-4.160503199939667,-9.418227589814904,1.1317808281349022
440303_051533,2019-02-19,12.0,380.0,0.2040930797100006,-8.08235368197,-4.002718268051666,-9.209402865113518,1.1270491831435183
440303_051533,2019-03-11,20.0,400.0,2.09800533147,-5.9843483505,-3.3267895878004663,-7.231263431044045,1.2469150805440448
440303_051533,2019-03-27,16.0,416.0,3.1044576313100003,-2.87989071919,-2.5357361992909966,-4.681489598709853,1.8015988795198532
440303_051533,2019-04-25,29.0,445.0,4.53676653748,1.65687581829,-2.07147773200679,-1.1409944927335451,2.797870311023545
440303_051533,2019-04-28,3.0,448.0,0.1327402691599999,1.78961608745,-2.1746675916527662,-1.0233533091183238,2.812969396568324
440303_051533,2019-05-10,12.0,460.0,-0.1773395774299999,1.61227651002,-2.8885133999093,-1.07532482124372,2.68760133126372
440303_051533,2019-06-10,31.0,491.0,-2.237328446325,-0.625051936305,-5.476050447357865,-2.585603376027643,1.9605514397226431
440303_051533,2019-06-26,16.0,507.0,0.5516575841102,-0.0733943521948,-5.862937607915972,-1.904535898438594,1.831141546243794
440303_051533,2019-07-12,16.0,523.0,1.5149237905548,1.44152943836,-5.493633983539666,-0.3086374657636253,1.7501669041236252
440303_051533,2019-08-14,33.0,556.0,1.89981738189,3.34134682025,-4.283180900018001,1.5130736087223045,1.828273211527696
440303_051533,2019-08-29,15.0,571.0,0.29142757351,3.63277439376,-3.887832120372336,1.6351453961064375,1.9976289976535624
440303_051533,2019-09-27,29.0,600.0,0.4897427904300002,4.12251718419,-3.297366724684667,1.7300743224660549,2.392442861723945
440303_051533,2019-10-09,12.0,612.0,-0.0905338365000005,4.03198334769,-3.0713087080119994,1.5061135670587975,2.525869780631202
440303_051533,2019-11-17,39.0,651.0,-4.291682638056,-0.259699290366,-2.5831166314260963,-2.764243388563488,2.504544098197488
440303_051533,2019-12-03,16.0,667.0,-2.869505787004,-3.12920507737,-2.651513013153913,-5.382989044931717,2.253783967561717
440303_051533,2020-01-13,41.0,708.0,-5.72805705125,-8.85726212862,-3.216502747058668,-10.335241354341514,1.477979225721514
440303_051533,2020-02-05,23.0,731.0,-0.8332193839799995,-9.6904815126,-3.4847366388313343,-11.022604558127416,1.3321230455274151
440303_051533,2020-02-21,16.0,747.0,0.1545418249299999,-9.53593968767,-3.594497627976332,-10.84681045562095,1.3108707679509497
440303_051533,2020-03-24,32.0,779.0,2.76240206913,-6.77353761854,-3.4476923654016334,-8.160705338669514,1.3871677201295145
440303_051533,2020-04-09,16.0,795.0,2.46943384004,-4.3041037785,-3.2315061065597863,-5.7455071226516194,1.4414033441516196
440303_051533,2020-05-11,32.0,827.0,5.74458955474,1.44048577624,-3.0948229107973324,-0.2341097297729428,1.674595506012943
440303_051533,2020-06-12,32.0,859.0,1.2802075778199995,2.72069335406,-3.130249908304334,0.8268206721353799,1.89387268192462
440303_051533,2020-07-14,32.0,891.0,-3.60328712233,-0.88259376827,-2.481090586263901,-2.801111958210938,1.918518189940938
440303_051533,2020-07-30,16.0,907.0,-0.031160968447,-0.913754736717,-2.08902968759429,-2.8922238190199367,1.9784690823029365
440303_051533,2020-08-15,16.0,923.0,1.7339206954300002,0.820165958713,-1.9297099417251,-1.2614394430215523,2.0816054017345524
440303_051533,2020-09-16,32.0,955.0,2.587241291167,3.40740724988,-2.7924587063153337,1.2766856481427502,2.1307216017372497
440303_051533,2020-10-11,25.0,980.0,-3.675124483833,-0.267717233953,-3.647974325731989,-2.3175828803654563,2.0498656464124565
